Order,Dataset,Variable,Label,DataType,Length,Significant Digits,Format,Mandatory,Codelist,Origin,Pages,Method,Predecessor,Role,Comment,ProgrammingNotes
4,ADEXSUM,SITEID,Study Site Identifier,text,,,,Yes,,Predecessor,,,ADSL.SITEID,,,
6,ADEXSUM,TRTP,Planned Treatment,text,,,,No,TRT01,Predecessor,,,ADSL.TRT01P,,,"Origin depends on study design.  If derived, populate Method.  If predecessor, populate Predecessor."
7,ADEXSUM,TRTPN,Planned Treatment (N),integer,,,,No,TRT01N,Assigned,,,ADSL.TRT01PN,,ASSIGN_CODELIST,
,ADEXSUM,APHASE,Phase,text,,,,Yes,APHASE,Derived,,ADEX_APHASE,,,,
,ADEXSUM,AVISIT,Analysis Visit,text,,,,No,AVISIT_D1,Predecessor,,,EC.VISIT where EC.ECMOOD = 'PERFORMED',,,
,ADEXSUM,AVISITN,Analysis Visit (N),float,,2,,No,AVISITN_D1,Assigned,,,,,ASSIGN_CODELIST,
,ADEXSUM,PARAM,Parameter ,text,,,,No,ADEXSUM_PARAM,Assigned,,,,,ASSIGN_CODELIST,
,ADEXSUM,PARAMCD,Parameter Code,text,,,,No,ADEXSUM_PARAMCD,Assigned,,,,,,
,ADEXSUM,PARAMN,Parameter Number,integer,,,,No,ADEXSUM_PARAMN,Assigned,,,,,ASSIGN_CODELIST,
,ADEXSUM,AVAL,Analysis Value,float,,,,No,,Derived,,,,,SEE_VLM,See value-level metadata
,ADEXSUM,AVALC,Analysis Value (C),text,,,,No,,Derived,,,,,SEE_VLM,See value-level metadata
,ADEXSUM,AVALCAT1,Analysis Value Category 1,text,,,,No,,Derived,,,,,SEE_VLM,See value-level metadata
,ADEXSUM,AVALCA1N,Analysis Value Category 1 (N),integer,,,,No,,Assigned,,,,,SEE_VLM,See value-level metadata
,ADEXSUM,SRCDOM,Source Data,text,,,,No,,Assigned,,,,,SEE_VLM,See value-level metadata
,ADEXSUM,SRCVAR,Source Variable,text,,,,No,,Assigned,,,,,SEE_VLM,See value-level metadata
,ADEXSUM,SRCSEQ,Source Sequence,integer,,,,No,,Assigned,,,,,SEE_VLM,See value-level metadata
100,ADEXSUM,COUNTRY,Country,text,,,,No,COUNTRY,Predecessor,,,ADSL.COUNTRY,,,
101,ADEXSUM,AGE,Age,integer,8,,,No,,Predecessor,,,ADSL.AGE,,,
102,ADEXSUM,AGEU,Age Units,text,,,,No,AGEU,Predecessor,,,ADSL.AGEU,,,
103,ADEXSUM,AAGECCM,CRF Analysis Age at Consent (Months),float,8,,,No,,Predecessor,,,ADSL.AAGECCM,,,Include if DM.AGE is different from analysis age.
104,ADEXSUM,AAGECCY,CRF Analysis Age at Consent (Years),float,8,,,No,,Predecessor,,,ADSL.AAGECCY,,,Include if DM.AGE is different from analysis age.
105,ADEXSUM,AGEGR1,Pooled Age Group 1,text,,,,No,AGEGR1,Predecessor,,,ADSL.AGEGR1,,,
106,ADEXSUM,AGEGR1N,Pooled Age Group 1 (N),integer,8,,,No,AGEGR1N,Predecessor,,,ADSL.AGEGR1N,,,
107,ADEXSUM,SEX,Sex,text,,,,Yes,SEX,Predecessor,,,ADSL.SEX,,,
108,ADEXSUM,RACE,Race,text,,,,No,RACE,Predecessor,,,ADSL.RACE,,,
109,ADEXSUM,ARACE,Analysis Race,text,,,,No,ARACE,Predecessor,,,ADSL.ARACE,,,
110,ADEXSUM,SAFFL,Safety Population Flag,text,1,,,Yes,NY,Predecessor,,,ADSL.SAFFL,,,
111,ADEXSUM,FASFL,Full Analysis Set Population Flag,text,1,,,Yes,NY,Predecessor,,,ADSL.FASFL,,,To be used only if a full analysis set has been defined in the SAP.
112,ADEXSUM,PKFL,Pharmacokinetic Population Flag,text,1,,,Yes,NY,Predecessor,,,ADSL.PKFL,,,To be used only if a PK analysis set has been defined in the SAP.
113,ADEXSUM,TRTSDT,Date of First Exposure to Treatment,integer,8,,date9.,No,,Predecessor,,,ADSL.TRTSDT,,,
114,ADEXSUM,TRTEDT,Date of Last Exposure to Treatment,integer,8,,date9.,No,,Predecessor,,,ADSL.TRTEDT,,,
115,ADEXSUM,MONTH6DT,Date of Month 6 Visit,integer,8,,date9.,No,,Predecessor,,,ADSL.MONTH6DT,,,
116,ADEXSUM,PH1SDT,Phase 1 Start Date,integer,8,,date9.,No,,Predecessor,,,ADSL.PH1SDT,,,Only needed if multiple analysis phases are defined.
117,ADEXSUM,PH1EDT,Phase 1 End Date,integer,8,,date9.,No,,Predecessor,,,ADSL.PH1EDT,,,Only needed if multiple analysis phases are defined.
118,ADEXSUM,PH2SDT,Phase 2 Start Date,integer,8,,date9.,No,,Predecessor,,,ADSL.PH2SDT,,,Only needed if multiple analysis phases are defined.
119,ADEXSUM,PH2EDT,Phase 2 End Date,integer,8,,date9.,No,,Predecessor,,,ADSL.PH2EDT,,,Only needed if multiple analysis phases are defined.
120,ADEXSUM,WTBLGR1,Baseline Weight Group 1,text,,,,No,WTBLGR1,Predecessor,,,ADSL.WTBLGR1,,,
121,ADEXSUM,WTBLGR1N,Baseline Weight Group 1 (N),integer,8,,,No,WTBLGR1N,Predecessor,,,ADSL.WTBLGR1N,,,
